Loan_ID,Gender,Married,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,5849,0,,360,1,Urban,N
LP001003,Male,Yes,1,4583,1508,128,360,1,Rural,Y
LP001005,Male,Yes,1,3000,0,66,360,1,Urban,N
LP001006,Male,Yes,0,2583,2358,120,360,1,Urban,N
LP001008,Male,No,0,6000,0,141,360,1,Urban,N
LP001011,Male,Yes,2,5417,4196,267,360,1,Urban,Y
LP001013,Male,Yes,0,2333,1516,95,360,1,Urban,Y
LP001014,Male,Yes,4,3036,2504,158,360,0,Semiurban,Y
LP001018,Male,Yes,2,4006,1526,168,360,1,Urban,Y
LP001020,Male,Yes,1,12841,10968,349,360,1,Semiurban,Y
LP001024,Male,Yes,2,3200,700,70,360,1,Urban,Y
LP001027,Male,Yes,2,2500,1840,109,360,1,Urban,Y
LP001028,Male,Yes,2,3073,8106,200,360,1,Urban,Y
LP001029,Male,No,0,1853,2840,114,360,1,Rural,Y
LP001030,Male,Yes,2,1299,1086,17,120,1,Urban,Y
LP001032,Male,No,0,4950,0,125,360,1,Urban,Y
LP001034,Male,Yes,1,3596,0,100,240,,Urban,Y
LP001036,Female,No,0,3510,0,76,360,0,Urban,N
LP001038,Male,Yes,0,4887,0,133,360,1,Rural,N
LP001041,Male,Yes,1,2600,3500,115,,1,Urban,N
LP001043,Male,Yes,0,7660,0,104,360,0,Urban,Y
LP001046,Male,Yes,1,5955,5625,315,360,1,Urban,Y
LP001047,Male,Yes,0,2600,1911,116,360,0,Semiurban,Y
LP001050,,Yes,2,3365,1917,112,360,0,Rural,Y
LP001052,Male,Yes,1,3717,2925,151,360,,Semiurban,N
LP001066,Male,Yes,0,9560,0,191,360,1,Semiurban,Y
LP001068,Male,Yes,0,2799,2253,122,360,1,Semiurban,Y
LP001073,Male,Yes,2,4226,1040,110,360,1,Urban,Y
LP001086,Male,No,0,1442,0,35,360,1,Urban,N
LP001087,Female,No,0,3750,2083,120,360,1,Semiurban,Y
LP001091,Male,Yes,1,4166,3369,201,360,,Urban,N
LP001095,Male,No,0,3167,0,74,360,1,Urban,N
LP001097,Male,Yes,1,4692,0,106,360,1,Rural,N
LP001098,Male,Yes,2,3500,1667,114,360,1,Semiurban,Y
LP001100,Male,No,0,12500,3000,320,360,1,Rural,Y
LP001106,Male,Yes,0,2275,2067,,360,1,Urban,Y
LP001109,Male,Yes,0,1828,1330,100,,0,Urban,N
